iso3,category,category_name,type,type_name,variable,value,units,data_type,source
AGO,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,6.999775090228984e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AGO,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,2.043507019332361e-6,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AGO,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
AGO,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,1.2144270289289971e-4,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AGO,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,6.173899349805979e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AGO,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,3.29543844504584e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AGO,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,5.53675899379355e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AGO,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,1.1420343953243979e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AGO,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,3.567990034861181e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AGO,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,1.78137475348564e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
AGO,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,6.181486357909331e-6,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
AGO,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
AGO,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,3.478953718397114e-5,2018 US$/2018 US$,Reported,Sumaila et al. (2019); World Bank WDI database
ALB,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,2.6769010809803492e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,6.272058559589383e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,7.251090851633482e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ALB,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,1.0572172567698913e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,B,Capacity-enhancing,B3,Fishing port development,subsidies_per_gdp,6.159270592121112e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,B,Capacity-enhancing,B4,Marketing and storage infrastructure,subsidies_per_gdp,8.029899605180536e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,B,Capacity-enhancing,B5,Non-fuel tax exemption,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ALB,B,Capacity-enhancing,B6,Fishing access agreements,subsidies_per_gdp,4.538784699426658e-8,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,B,Capacity-enhancing,B7,Fuel subsidies,subsidies_per_gdp,4.3787785887644217e-4,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ALB,C,Ambiguous,C1,Fisher assistance,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ALB,C,Ambiguous,C2,Vessel buyback programs,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ALB,C,Ambiguous,C3,Rural fisher communities,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
ARE,A,Beneficial,A1,Fisheries management,subsidies_per_gdp,6.59004462398655e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARE,A,Beneficial,A2,Fishery research and development,subsidies_per_gdp,1.5440669841808924e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARE,A,Beneficial,A3,Marine protected areas,subsidies_per_gdp,1.0485001194937275e-5,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARE,B,Capacity-enhancing,B1,Boat construction and renovation,subsidies_per_gdp,9.23885883248543e-6,2018 US$/2018 US$,Modeled,Sumaila et al. (2019); World Bank WDI database
ARE,B,Capacity-enhancing,B2,Fisheries development projects,subsidies_per_gdp,0,2018 US$/2018 US$,Found no evidence of subsidy,Sumaila et al. (2019); World Bank WDI database
