include,category,notes,title_tool_old,title_tool,date,proposal,public,submitting_member,title,summary,assumptions_iuu,sdt_iuu,assumptions_overfished,sdt_overfished,assumptions_ofoc,sdt_ofoc,assumptions_cap_tier,iuu_definitions,iuu_assumption,iuu_percent,iuu_scope,iuu_scope_select,iuu_scope_manual,iuu_allow_sdt,iuu_sdt_ldc,iuu_sdt_what_ldc,iuu_sdt_developing,iuu_sdt_what_developing,iuu_sdt_sve,iuu_sdt_what_sve,oa_definitions,oa_scope,oa_scope_select,oa_scope_manual,oa_sub_cutoff,oa_capture_cutoff,oa_hs_cutoff,oa_length_cutoff,oa_tonnage_cutoff,oa_engine_cutoff,oa_allow_sdt,oa_sdt_ldc,oa_sdt_what_ldc,oa_sdt_developing,oa_sdt_what_developing,oa_sdt_sve,oa_sdt_what_sve,overcap_definitions,overcap_scope,overcap_scope_select,overcap_scope_manual,overcap_sub_cutoff,overcap_capture_cutoff,overcap_hs_cutoff,overcap_length_cutoff,overcap_tonnage_cutoff,overcap_engine_cutoff,overcap_allow_sdt,overcap_sdt_ldc,overcap_sdt_what_ldc,overcap_sdt_hs_cutoff_ldc,overcap_sdt_developing,overcap_sdt_what_developing,overcap_sdt_capture_cutoff_developing,overcap_sdt_sve,overcap_sdt_what_sve,overcap_sdt_hs_cutoff_sve,cap_on_off,cap_subsidy_types,cap_tier_number,tier_system,two_tier_cutoff,three_tier_cutoff,tier1_cap_rule,tier1_cap_value,tier1_cap_percent,tier1_cap_best_percent_subs,tier1_cap_best_percent_landed_value,tier1_cap_best_percent_fishers,tier2_cap_rule,tier2_cap_value,tier2_cap_percent,tier2_cap_best_percent_subs,tier2_cap_best_percent_landed_value,tier2_cap_best_percent_fishers,tier3_cap_rule,tier3_cap_value,tier3_cap_percent,tier3_cap_best_percent_subs,tier3_cap_best_percent_landed_value,tier3_cap_best_percent_fishers
Yes,OFOC,"NOTE: No guidance is provided as to potential values for X%, Y%, and Z%. 10%, 20% and 30% were chosen. The exemption for developing countries for fishing within their territorial waters is not modeled here.",Philippines - De minimis,CAP - De minimis,21-Mar-19,RD/TN/RL/81,No,Philippines,Draft text: De minimis,"This proposal advocates for Member-specific de minimis limits, below which Members may maintain, grant, or provide subsidies. Four criteria are provided to determine de minimis limits: 1) The de minimis limit for developed country Members and developing country Members belonging to the top [10] global marine capture fisheries producers shall be [X]% of the average total landed value of the Member's marine capture fisheries in the period [2016-2018]. 2) For developing country Members not included in 1), the de minimis limit shall be [Y]% plus [10/15]% of the average total landed value in the most recent three year period for which data are available. 3) Developing country Members included in 1) whose large-scale commercial fisheries are responsible for less than [5/10]% of the average total landed value may instead take the de minimis limit determined under 2). 4) The de minimis level for LDC Members shall be [Z]% plus [20/30]% of the average total landed value in the most recent three year period for which data are available.",None</br>,N/A,None</br>,N/A,None</br>,N/A,"<ol><li>We assume that provisioning of the following types of subsidies as defined by Sumaila et al. (2019) are allowed to continue irrespective of a Member's total de minimis limit: i) fisher assistance programs; ii) rural fishers' community development program subsidies (both programs relevant to fishing in territorial waters). Therefore each Member's base subsidy level is represented by the total amount of all other capacity-enhancing and ambiguous subsidies estimated by Sumaila et al. (2019).</li><li>We estimate the landed value of marine capture fisheries from the FAO Global Capture Production Database.</li><li>We assume the de minimis limit for developed and developing country members belonging to the top 10 marine capture fisheries producers to be 10% of the average total landed value of the Member's marine capture fisheries between 2016-2018. For all other developing country Members, we assume the de minimis limit to be 20% of the average total landed value between 2016-2018. For LDC Members, we assume the de minimis limit to be 30% of the average total landed value between 2016-2018.</li></ol>",,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,YES,"B1, B2, B3, B4, B5, B6, B7, C2",THREE,TOP10,,,PERCENT_REV,,10,,,,PERCENT_REV,,20,,,,PERCENT_REV,,30,,,
Yes,OFOC,NOTE: Same interpretation as the Facilitator's text. Assumed to be more ambitious than the Australia - Overfished text (Overfished - Negative effects (Option A).,New Zealand/Iceland - Overfishing and overcapacity,OFOC - Negative effects (Option A),18-Apr-19,RD/TN/RL/79/Rev.1,No,New Zealand and Iceland,Draft text on overfishing and overcapacity,"This proposal advocates for prohibiting subsidies that reduce the operational or capital costs of fishing when one or more of the stocks in the relevant fishery or fisheries being targeted are either 1) being fished with a measure of fishing capacity that is greater than would be required to maintain the stock(s) at a level that would maintain [MSY] or 2) being fished at a rate that is contributing to a decline in the stock(s) below a level that would maintain [MSY]. If the subsidizing Member can demonstrate that it has other policies in place that effectively ensure the stocks(s) are maintained at or above a level required to maintain [MSY], a subsidy that would otherwise be prohibited by either of the above conditions shall be allowed.",None</br>,N/A,None</br>,N/A,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we take the same approach as that used for overfished stocks. We assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 1) in the RAM Legacy Stock Assessment Database are prohibited. The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>This proposal is ambiguous about which reference point might be used to make an overfished determination, and we therefore note that this is only one possible interpretation of this text.</li><li>It is not possible to simulate whether Members could demonstrate that they have policies in place that would negate this prohibition.</li></ol>",None considered.,No,,,,,,,NO,,,,,,,OA1,ALL,,,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,"NOTE: X%, Y%, and Z% at set at 55%, 2% and 55% respectively. The global average subsidies per fisher value is approximately $1500 calculated using subsidy data from Sumaila et al. (2019) and fisher data from the FAO.",China - Cap,CAP - Optional criteria,4-Jun-19,TN/RL/GEN/199,Yes,China,A cap-based approach to address certain fisheries subsidies that contribute to overcapacity and overfishing,"This proposal advocates for Member-specific subsidy caps (expressed in monetary terms). Subsidies in excess of a Member's cap would be prohibited. Members may choose from one of three approaches to calculate their subsidy cap: 1) [X]% of the Member’s average subsidy base for capping during the base period; 2) [Y]% of the average landed value of the Member's total wild marine capture during the base period; 3) [Z]% of the global average base for capping per fisherman multiplied by the Member’s total number of fishermen during the base period. This proposal also advocates that the following four categories of ""green-box"" subsidies shall not be subject to the Member's capping commitments: 1) government service and management programs; 2) programs to protect fisheries resources or rebuild stocks; 3) programs to reduce fishing efforts or fishing capacity; 4) programs that rebuttably presumed not to contribute to overcapacity or overfishing.",None</br>,N/A,None</br>,N/A,None</br>,N/A,"<ol><li>We assume each Member's cap is equal to whichever of the three proposed approaches for calculating their cap yields the largest amount.</li><li>Caps based on the first approach are calculated as 55% of each Member's base for capping; caps based on the second approach are calculated as 2.1% of each Member's estimated landed value calculated from the FAO Global Marine Capture Production Database (annual average between 2016-2018); caps based on the third approach are calculated as 55% of the global average subsidies per fisher (capacity-enhancing and ambiguous) multiplied by each Member's most recently reported total number of fishers from the FAO Yearbook of Fishery and Aquaculture Statistics (2017). If data are not available to calculate a Member’s cap for a certain approach, that approach is disregarded.</li><li>We assume that provisioning of the following types of subsidies as defined by Sumaila et al. (2019) are allowed to continue irrespective of a Member's total cap: i) subsidies for fishing access agreements; ii) fisher assistance programs; iii) vessel buyback programs; iv) rural fishers' community development programs. Therefore each Member's base for capping is represented by the total amount of all other capacity-enhancing and ambiguous subsidies estimated by Sumaila et al. (2019).</li><li>LDCs are exempted from the capping and reduction commitments.</li></ol>",,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,YES,"B1, B2, B3, B4, B5, B7",TWO,DEVELOPMENT,,,BEST,,,55,2.1,55,NONE,,,,,,,,,,,
Yes,Overfished,"NOTE: Assumed to be less ambitious than New Zealand/Iceland - Overfishing and overcapacity and Facilitator's texts because of causal requirement. We cannot model the causal requirement, but have chosen a lower reference point to make the effects of this proposal more conservative.",Australia - Overfished,Overfished - Negative effects (Option A),5-Jun-19,RD/TN/RL/77/Rev.2,No,Australia,Draft text on overfished stocks,"This proposal presents a draft text for a prohibition on subsidies for fishing on overfished stocks. It is very similar to some of the draft text provided in RD/TN/RL/119, and advocates for a prohibition on subsidies for fishing on stocks recognized as overfished by the Member under whose jurisdiction the fishing is taking place or by the relevant RFMO/A. Such subsidies shall be prohibited if they are found to be having a negative effect on the stock, defined as any of the following: 1) a lack of recovery of the fishery; 2) continuation of depletion of fish stock levels; 3) continuation of excess levels of fishing. ",None</br>,N/A,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 0.8) in the RAM Legacy Stock Assessment Database are prohibited. The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>This proposal is ambiguous about which reference point might be used to make an overfished determination, and we therefore note that this is only one possible interpretation of this text. Additionally, as written, this text requires that there be a causal negative effect on the stock as a result of the subsidy. This is difficult to establish given existing data on subsidy provisioning and stock status, and is not possible to model, but we have chosen a more conservative reference point in regards to this condition.</li></ol>",None considered.,None</br>,N/A,No,,,,,,,NO,,,,,,,OA2,ALL,,,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,IUU,NOTE: All IUU proposals yield similar results because of data availability.,Latin 6 and others - IUU,IUU (Option A),12-Jun-19,RD/TN/RL/87,No,"Argentina, Colombia, Costa Rica, Panama, Peru, Uruguay, Canada, Iceland, New Zealand, and the United States",Draft text on IUU fisheries subsidies,"This proposal advocates for a prohibition on subsidies to vessels or operators engaged in IUU fishing. It specifies that IUU determinations could be made by the flag or subsidizing Member states, by RFMO/As in accordance with their rules and procedures and in conformity with international law, or by coastal Member states for activities in waters under their jurisdictions provided that such a determination is made fairly. ","<ol><li>We assume that final determinations are made by existing RFMO/A vessel lists, by flag, subsidizing, and coastal Member states.</li><li>No publicly available data exist for most flag- and subsidizing Members, nor for coastal Members. The possible effects of modeling this proposal is therefore a conservative interpretation of this text. Users are free to explore a more ambitious interpretation by making their own assumptions about the expected IUU-findings.</li><li>No proportionality or the duration of prohibition is considered.</li></ol>",None considered.,None</br>,N/A,None</br>,N/A,No,"IUU1, IUU2, IUU3, IUU4",NO,,ALL,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,NOTE: Data does not exist to model the proposed prohibition on subsidies being provided to vessels flagged to another state. ,US and others - ABNJ,OFOC - ABNJ,27-Jun-19,RD/TN/RL/91,No,"Argentina, Australia, Chile, New Zealand, the United States, and Uruguay",Proposed text on fisheries subsidies for fishing in areas beyond national jurisdictions ,"This proposal advocates for placing prohibitions on a Member's subsidies contingent upon, or tied to actual or anticipated, fishing activities in areas beyond that Member's national jurisdiction. ",None</br>,N/A,None</br>,N/A,"<ol><li>We assume that all capacity-enhancing and ambiguous subsidies as defined by Sumaila et al. (2019) are prohibited to vessels fishing in areas beyond that Member's national jurisdiction. We note that this is an ambitious interpretation of this proposal, as the text makes it clear that the fact that a subsidy is granted is not reason enough for that subsidy to be prohibited. However, data does not exist at present to make this determination for subsidy programs globally.</li><li>By default, we consider all capacity-enhancing and ambiguous subsidies provided to vessels spending at least 5% of their total annual effort fishing on the high seas to be prohibited.</li></ol>",None considered.,No,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",SELECT,OUT,,,,5,,,,NO,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,,ACP - Overfishing and overcapacity,OFOC - List approach,2-Jul-19,RD/TN/RL/96/Rev.1,No,"Jamaica on behalf of the African, Caribbean and Pacific Countries (ACP) Group",Overcapacity and overfishing,"This proposal builds on TN/RL/GEN/192, as reflected in TN/RL/W/274/Rev.6, and advocates for a prohibition on subsidies for capital and operating costs, provided to large-scale industrial fishing. Capital cost subsidies include those for construction, acquisition, modernization, renovation or upgrading of vessels, direct transfers for vessel construction and modernization, purchase of machines and equipment for fishing vessels. Operating cost subsidies include those for fuel, ice, bait, personnel, income support of vessels or operators or the workers they employ, social chargers, insurance, payments based on the price of fish caught, gear, and at-sea support, or operating losses of such vessels or activities. It also considers a list of subsidies that will not be prohibited: fisheries management, permanent cessation, implementation of international agreements, relief measures, measures for health and safety on board, human capital.",None</br>,N/A,None</br>,N/A,"<ol><li>We assume that the following types of subsidies as defined by Sumaila et al. (2019) are prohibited: i) boat construction and renovation, ii) fuel.</li></ol>",This prohibition shall not apply to LDC Members. Subsidies provided by developed Members and developing country Members responsible for less than 2% of global marine capture calculated from the FAO Global Marine Capture Production Database (annual average between 2016-2018) for fishing within their own EEZs shall be allowed.,No,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,"B1, B7",SELECT,CAPTURE_2_EX_EEZ,,,,5,,,,YES,YES,ALL,,NO,,,NO,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,Overfished,NOTE: Assumed to be less ambitious than Austraila text because of territorial seas exemption.,ACP - Overfished,Overfished - Negative effects + rebuttable (Option B),2-Jul-19,RD/TN/RL/95,No,"Jamaica on behalf of the African, Caribbean and Pacific Countries (ACP) Group",Overfished discipline,"This proposal presents a draft text for a prohibition on subsidies for fishing on overfished stocks. It builds on TN/RL/GEN/192, as reflected in TN/RL/W/274/Rev.6, and advocates for a prohibition on subsidies to vessels fishing outside of a Member's territorial sea on overfished stocks. It defines overfished stocks as those recognized as such by the Member in whose jurisdiction the fishing is taking place, or by the relevant RFMO/A. It also provides a list of allowed subsidies. ",None</br>,N/A,"<ol><li>There is uncertainty regarding the status of many fish stocks.</li><li>For the purposes of modeling this proposal, we assume that subsidies to fishing on stocks identified as overfished (B/Bmsy < 0.8) in the RAM Legacy Stock Assessment Database are prohibited. The proportion of stocks identified as overfished in the RAM Legacy Stock Assessment Database likely underestimates the actual proportion of stocks that are overfished globally, but it is unclear whether enough evidence would exist to trigger this prohibition for stocks not included in this database.</li><li>This proposal is ambiguous about which reference points might be used to make an overfished determination, and we therefore note that this is only one very narrow possible interpretation of this text.</li><li>Subsidies for fishing within a Member's territorial sea shall be allowed.</li></ol>","S&DT in the form of technical assistance and capacity building are considered, but cannot be modeled.",None</br>,N/A,No,,,,,,,NO,,,,,,,OA2,SELECT,EX_TER,,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
Yes,OFOC,"NOTE: Tier cutoffs are set at 0.7% and 0.05%. Tier 1 Members are assumed to receive a cap equal to 50% of their base subsidies, Tier 2 Members receive a cap of $50 million USD, and Tier 3 Members do not receive a cap. ",US and others -  Cap/Tier,CAP - Tiers,11-Jul-19,TN/RL/GEN/197/Rev.2,Yes,"Argentina, Australia, the United States, Uruguay",A cap-based approach to addressing certain fisheries subsidies,"This proposal advocates for negotiating Member-specific subsidy caps (expressed in monetary terms). Subsidies in excess of a Member's cap would be prohibited. This cap is intended to be supplementary to any prohibitions on subsidies that support IUU, fishing beyond national jurisdiction, and subsidies for fishing that negatively affect overfished stocks. Members would also commit to maintain fisheries management and conservation measures, and without prejudice of the ASCM. ",None</br>,N/A,None</br>,N/A,None</br>,N/A,"<ol><li>We assume that each Member's base for capping is represented by the total amount of capacity-enhancing and ambiguous subsidies estimated by Sumaila et al. (2019).</li><li>Members are sorted into three tiers based on their marine capture production calculated from the FAO Global Marine Capture Production Database (annual average between 2016-2018). </li><li>Members accounting for 0.7% or more of global marine capture production are in ""Tier 1""; Members accounting for 0.05% or more, but less than 0.7%, of global marine capture production are in ""Tier 2""; Members accounting for less than 0.05% of global marine capture production are in ""Tier 3"".</li><li>This proposal advocates for allowing both Tier 1 and Tier 2 Members to negotiate their own subsidy caps or to accept a default cap of $50 million annually. For the purposes of modeling, we assume that Tier 1 Members receive a subsidy cap equal to 50% of their base for capping; Tier 2 Members receive the default cap of $50 million; Tier 3 Members do not receive a cap.</li></ol>",,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,,,,YES,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",THREE,CAPTURE,,"0.05, 0.7",PERCENT_SUBS,,50,,,,VALUE,50,,,,,NONE,,,,,
Yes,OFOC,"NOTE: Data do not exist to model whether vessels have fishing gear hauled by motor driven equipment, have onboard freezing equipment for storage, or are owned or operated by a multinational enterprise, a public limited company, or a joint venture. ",Morocco - Industrial fishing,OFOC - Vessel characteristics,7-Aug-19,RD/TN/RL/103,No,Morocco,Fishing vessels to be exclusively or mainly targeted in the context of overcapacity and overfishing disciplines,"This proposal defines the characteristics of vessels that shall be targeted with regards to overcapacity and overfishing disciplines. It advocates that any vessel having at least three of the following six characteristics shall be affected: vessels 1) greater than 24 meters in length; 2) with a gross tonnage of more than 100 GT; 3) with fishing gear towed or hauled by motor driven equipment; 4) propelled by an engine with more than 130 kW; 5) with onboard freezing equipment for storage; 6) owned or operated by a multinational enterprise, a public limited company, or a joint venture.",None</br>,N/A,None</br>,N/A,"<ol><li>We assume that all capacity-enhancing and ambiguous subsidies as defined by Sumaila et al. (2019) are prohibited to vessels satisfying all three of the following characteristics: i) total length of more than 24 meters; ii) gross tonnage of more than 100 GT; iii) engine power of more than 130 kW.</li><li>In general, our underlying dataset does not include many vessels with fishing gears that are not hauled by motor driven equipment. However, we cannot show that this characteristic is satisfied with certainty and thus it is not considered. The other two conditions are also not considered as it is difficult to determine which vessels have onboard freezing equipment, or the characteristics of a vessel's owning or operating company.</li></ol>",None considered.,No,,,,,,,NO,,,,,,,,,,,,,,,,,NO,,,,,,,"B1, B2, B3, B4, B5, B6, B7, C1, C2, C3",SELECT,"LENGTH, TONNAGE, ENGINE",,,,,24,100,130,NO,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,
