iso3,year,category,category_name,type,type_name,data_type,units,source,value,variable
AUS,2014,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2014 US$,OECD FSE database,1103477.154,subsidies_OECD
AUS,2015,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2015 US$,OECD FSE database,2045669.301,subsidies_OECD
AUS,2016,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2016 US$,OECD FSE database,1454653.738,subsidies_OECD
AUS,2017,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2017 US$,OECD FSE database,2030833.058,subsidies_OECD
AUS,2009,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2009 US$,OECD FSE database,12835212.889,subsidies_OECD
AUS,2010,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2010 US$,OECD FSE database,2353749.146,subsidies_OECD
AUS,2011,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2011 US$,OECD FSE database,8526723.247,subsidies_OECD
AUS,2012,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2012 US$,OECD FSE database,5578744.235,subsidies_OECD
AUS,2013,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2013 US$,OECD FSE database,19252192.209,subsidies_OECD
AUS,2014,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2014 US$,OECD FSE database,7481224.203,subsidies_OECD
AUS,2015,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2015 US$,OECD FSE database,26268328.13,subsidies_OECD
AUS,2016,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2016 US$,OECD FSE database,1670213.055,subsidies_OECD
AUS,2017,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2017 US$,OECD FSE database,12163540.488,subsidies_OECD
AUS,2009,2,General service support estimate,2D,Support to fishing communities,Reported,2009 US$,OECD FSE database,652986.164,subsidies_OECD
AUS,2010,2,General service support estimate,2D,Support to fishing communities,Reported,2010 US$,OECD FSE database,795649.767,subsidies_OECD
AUS,2011,2,General service support estimate,2D,Support to fishing communities,Reported,2011 US$,OECD FSE database,1194913.37,subsidies_OECD
AUS,2012,2,General service support estimate,2D,Support to fishing communities,Reported,2012 US$,OECD FSE database,1373597.304,subsidies_OECD
AUS,2013,2,General service support estimate,2D,Support to fishing communities,Reported,2013 US$,OECD FSE database,1640953.431,subsidies_OECD
AUS,2014,2,General service support estimate,2D,Support to fishing communities,Reported,2014 US$,OECD FSE database,3521947.636,subsidies_OECD
AUS,2015,2,General service support estimate,2D,Support to fishing communities,Reported,2015 US$,OECD FSE database,2202582.032,subsidies_OECD
AUS,2016,2,General service support estimate,2D,Support to fishing communities,Reported,2016 US$,OECD FSE database,2311544.393,subsidies_OECD
AUS,2017,2,General service support estimate,2D,Support to fishing communities,Reported,2017 US$,OECD FSE database,2131281.126,subsidies_OECD
AUS,2013,2,General service support estimate,2E,Education and training,Reported,2013 US$,OECD FSE database,964873.396,subsidies_OECD
AUS,2014,2,General service support estimate,2E,Education and training,Reported,2014 US$,OECD FSE database,382624.057,subsidies_OECD
AUS,2015,2,General service support estimate,2E,Education and training,Reported,2015 US$,OECD FSE database,616133.555,subsidies_OECD
AUS,2016,2,General service support estimate,2E,Education and training,Reported,2016 US$,OECD FSE database,668977.192,subsidies_OECD
AUS,2017,2,General service support estimate,2E,Education and training,Reported,2017 US$,OECD FSE database,7242027.319,subsidies_OECD
AUS,2009,2,General service support estimate,2F,Research and development,Reported,2009 US$,OECD FSE database,38945609.106,subsidies_OECD
AUS,2010,2,General service support estimate,2F,Research and development,Reported,2010 US$,OECD FSE database,39907617.721,subsidies_OECD
AUS,2011,2,General service support estimate,2F,Research and development,Reported,2011 US$,OECD FSE database,49821461.306,subsidies_OECD
AUS,2012,2,General service support estimate,2F,Research and development,Reported,2012 US$,OECD FSE database,49004638.003,subsidies_OECD
AUS,2013,2,General service support estimate,2F,Research and development,Reported,2013 US$,OECD FSE database,51025386.314,subsidies_OECD
AUS,2014,2,General service support estimate,2F,Research and development,Reported,2014 US$,OECD FSE database,55149116.023,subsidies_OECD
AUS,2015,2,General service support estimate,2F,Research and development,Reported,2015 US$,OECD FSE database,46500850.412,subsidies_OECD
AUS,2016,2,General service support estimate,2F,Research and development,Reported,2016 US$,OECD FSE database,47455003.875,subsidies_OECD
AUS,2017,2,General service support estimate,2F,Research and development,Reported,2017 US$,OECD FSE database,51095388.052,subsidies_OECD
AUS,2009,2,General service support estimate,2G,Management of resources,Reported,2009 US$,OECD FSE database,50424053.308,subsidies_OECD
AUS,2010,2,General service support estimate,2G,Management of resources,Reported,2010 US$,OECD FSE database,61816777.083,subsidies_OECD
AUS,2011,2,General service support estimate,2G,Management of resources,Reported,2011 US$,OECD FSE database,67444633.031,subsidies_OECD
AUS,2012,2,General service support estimate,2G,Management of resources,Reported,2012 US$,OECD FSE database,90199564.944,subsidies_OECD
AUS,2013,2,General service support estimate,2G,Management of resources,Reported,2013 US$,OECD FSE database,99432696.732,subsidies_OECD
AUS,2014,2,General service support estimate,2G,Management of resources,Reported,2014 US$,OECD FSE database,91011370.151,subsidies_OECD
AUS,2015,2,General service support estimate,2G,Management of resources,Reported,2015 US$,OECD FSE database,75215411.34,subsidies_OECD
AUS,2016,2,General service support estimate,2G,Management of resources,Reported,2016 US$,OECD FSE database,73635715.417,subsidies_OECD
AUS,2017,2,General service support estimate,2G,Management of resources,Reported,2017 US$,OECD FSE database,84513205.828,subsidies_OECD
AUS,2009,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2009 US$,OECD FSE database,322336.031,subsidies_OECD
AUS,2010,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2010 US$,OECD FSE database,474360.257,subsidies_OECD
AUS,2011,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2011 US$,OECD FSE database,276634.595,subsidies_OECD
AUS,2012,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2012 US$,OECD FSE database,438419.585,subsidies_OECD
AUS,2013,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2013 US$,OECD FSE database,391478.083,subsidies_OECD
AUS,2014,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2014 US$,OECD FSE database,319750.227,subsidies_OECD
AUS,2015,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2015 US$,OECD FSE database,935206.581,subsidies_OECD
AUS,2016,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2016 US$,OECD FSE database,796651.489,subsidies_OECD
AUS,2017,2,General service support estimate,2H,Miscellaneous transfers to general services,Reported,2017 US$,OECD FSE database,631667.249,subsidies_OECD
AUS,2009,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2009 US$,OECD FSE database,-31235773.559,subsidies_OECD
AUS,2010,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2010 US$,OECD FSE database,-36467407.872,subsidies_OECD
AUS,2011,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2011 US$,OECD FSE database,-46052600.105,subsidies_OECD
AUS,2012,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2012 US$,OECD FSE database,-54167934.499,subsidies_OECD
AUS,2013,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2013 US$,OECD FSE database,-53228306.133,subsidies_OECD
AUS,2014,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2014 US$,OECD FSE database,-53005997.668,subsidies_OECD
AUS,2015,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2015 US$,OECD FSE database,-45816552.199,subsidies_OECD
AUS,2016,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2016 US$,OECD FSE database,-49160903.89,subsidies_OECD
AUS,2017,3,Cost recovery charges,3C,"Cost recovery charges, for management, research and enforcement",Reported,2017 US$,OECD FSE database,-50798850.407,subsidies_OECD
BEL,2009,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2009 US$,OECD FSE database,3000262.725,subsidies_OECD
BEL,2010,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2010 US$,OECD FSE database,12504083.158,subsidies_OECD
BEL,2012,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2012 US$,OECD FSE database,2879006.054,subsidies_OECD
BEL,2013,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2013 US$,OECD FSE database,1399153.321,subsidies_OECD
BEL,2014,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2014 US$,OECD FSE database,1244032.168,subsidies_OECD
BEL,2015,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2015 US$,OECD FSE database,356996.409,subsidies_OECD
BEL,2016,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2016 US$,OECD FSE database,960013.806,subsidies_OECD
BEL,2017,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2017 US$,OECD FSE database,856835.141,subsidies_OECD
BEL,2018,1,Transfers to individual fishers - budgetary,1A,Transfers based on input use,Reported,2018 US$,OECD FSE database,1880327.518,subsidies_OECD
BEL,2009,1,Transfers to individual fishers - budgetary,1C,Transfers based on the reduction of productive capacity,Reported,2009 US$,OECD FSE database,10652383.285,subsidies_OECD
BEL,2009,2,General service support estimate,2B,Provision of infrastructure,Reported,2009 US$,OECD FSE database,101114.333,subsidies_OECD
BEL,2010,2,General service support estimate,2B,Provision of infrastructure,Reported,2010 US$,OECD FSE database,401962.99,subsidies_OECD
