"","Id","Name","Category","Year","Biomass","Catches"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,23572491.0510373,1730260.36052154
"2","Ambitious Reform","All subsidies","Ambitious Reform",2080,23595652.5339911,1733061.69278046
"3","RD/TN/RL/104","EU - IUU (RD/TN/RL/104)","IUU",2050,9073.0792996092,3.56697250234846
"4","RD/TN/RL/104","EU - IUU (RD/TN/RL/104)","IUU",2080,9071.35194156202,8.33453858883522
"5","RD/TN/RL/112/Rev.1","EU and others - Overfishing and overcapacity (RD/TN/RL/112/Rev.1)","OFOC",2050,1119572.11839429,55475.1679897238
"6","RD/TN/RL/112/Rev.1","EU and others - Overfishing and overcapacity (RD/TN/RL/112/Rev.1)","OFOC",2080,1183170.05779209,57533.3748243492
"7","RD/TN/RL/113","Facilitator's text - IUU (RD/TN/RL/113)","IUU",2050,9073.0792996092,3.56697250234846
"8","RD/TN/RL/113","Facilitator's text - IUU (RD/TN/RL/113)","IUU",2080,9071.35194156202,8.33453858883522
"9","RD/TN/RL/119 | RD/TN/RL/77/Rev.2","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2)","Overfished",2050,997432.379274817,49155.071872345
"10","RD/TN/RL/119 | RD/TN/RL/77/Rev.2","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/77/Rev.2)","Overfished",2080,1041220.72058297,48543.4567562761
"11","RD/TN/RL/119 | RD/TN/RL/79/Rev.1","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/79/Rev.1)","Overfished",2050,2963774.54524786,225672.045042321
"12","RD/TN/RL/119 | RD/TN/RL/79/Rev.1","Facilitator's text - Overfished (RD/TN/RL/119 | RD/TN/RL/79/Rev.1)","Overfished",2080,3172933.2386705,248524.659691953
"13","RD/TN/RL/121","Canada - Overfishing and overcapacity (RD/TN/RL/121)","OFOC",2050,7860687.23428211,92417.2584251323
"14","RD/TN/RL/121","Canada - Overfishing and overcapacity (RD/TN/RL/121)","OFOC",2080,8076917.84301322,113987.825758953
"15","RD/TN/RL/124","Brazil - Formula (RD/TN/RL/124)","OFOC",2050,12735212.7058337,1188704.56840012
"16","RD/TN/RL/124","Brazil - Formula (RD/TN/RL/124)","OFOC",2080,12747777.1864607,1190197.62819845
"17","RD/TN/RL/125","LDC - Full text (RD/TN/RL/125)","Other",2050,3156346.69650125,50497.9256679497
"18","RD/TN/RL/125","LDC - Full text (RD/TN/RL/125)","Other",2080,3338996.39578091,58481.4687636808
"19","RD/TN/RL/126 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition)","Other",2050,4556848.90798849,261735.328131473
"20","RD/TN/RL/126 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | Objective Definition)","Other",2080,4769321.13501185,282563.024530852
"21","RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition)","Other",2050,14823278.4829341,1054589.32090743
"22","RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Objective Definition)","Other",2080,14850362.2455238,1058515.15544509
"23","RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities)","Other",2050,14823918.6298278,1054668.09654695
"24","RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/124 | Relevant Authorities)","Other",2080,14851307.9295466,1058637.02113579
"25","RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition)","Other",2050,9994982.55891755,626665.457080728
"26","RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Objective Definition)","Other",2080,10018541.5294768,630323.697105069
"27","RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities)","Other",2050,9992520.3465513,626372.653177471
"28","RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | RD/TN/RL/81 | Relevant Authorities)","Other",2080,10013765.4149334,629676.983469284
"29","RD/TN/RL/126 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities)","Other",2050,3166587.52121363,84535.7042795829
"30","RD/TN/RL/126 | Relevant Authorities","Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities)","Other",2080,3277020.3976501,87832.3870373569
"31","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition)","Other",2050,13607663.7739908,970403.619650093
"32","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Objective Definition)","Other",2080,13632753.3732682,974096.089470768
"33","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities)","Other",2050,13607866.5042481,970431.202911161
"34","RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/197/Rev.2 | Relevant Authorities)","Other",2080,13633110.8855194,974147.492642784
"35","RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition)","Other",2050,8056769.4349769,522183.704045524
"36","RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Objective Definition)","Other",2080,8061557.87088501,523291.412323038
"37","RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities)","Other",2050,8056769.4349769,522183.704045524
"38","RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities","Chair's text - Consolidated text  (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities)","Other",2080,8061557.87088501,523291.412323038
