fishery,country,year,ecology,economics,community,stock_perf,harvest_sector_perf,post_harvest_sector_perf
Lobster,Iceland,2010,5,4.34,4.05,5,4.41,4.17
Alaska Pollock,United States,2013,4.88,4.38,3.52,4.88,4.28,4.12
Alaska Salmon,United States,2009,4.88,2.86,3.4,4.88,3.08,3.38
Alaska Halibut,United States,2011,4.88,4.01,3.6,4.88,4.05,3.76
Skipjack Tuna,Maldives,2013,4.75,3.53,3.93,4.75,3.97,3.38
Cod,Norway,2010,4.75,3.83,3.98,4.75,4.18,3.78
Purse Seiners,Norway,2010,4.75,3.88,3.98,4.75,4.23,3.78
Oregon Dungeness Crab,United States,2010,4.63,3.33,3.48,4.63,3.38,3.5
Spencer Gulf Prawn,Australia,2010,4.38,3.79,4.45,4.38,4.09,4.17
Suruga Pink Shrimp,Japan,2010,4.38,3.61,4.31,4.38,3.9,3.99
Hoki,New Zealand,2011,4.38,4.25,3.9,4.38,4.12,4.22
Lake Victoria Dagaa,Uganda,2010,4.25,2.93,3.33,4.25,3.37,2.7
Lake Victoria Tilapia,Uganda,2010,4.25,3.06,3.29,4.25,3.07,3.12
Alaska Crab,United States,2011,4.25,4.44,3.71,4.25,4.19,4.23
WZ Abalone,Australia,2011,4.25,3.29,3.06,4.25,3.07,3.12
SZ Rock Lobster,Australia,2012,4.13,4.67,4.1,4.13,4.33,4.28
Indian Ocean Purse Seine Tuna,European Union,2013,4,3.85,4.17,4,4.15,3.9
Baltic Cod,Sweden,2010,4,3.79,4.12,4,3.67,4.16
Industrial Tuna,Ecuador,2013,3.88,3.88,4.31,3.88,3.94,4.12
Florida Spiny Lobster,United States,2010,3.75,3.53,4.12,3.75,3.65,3.97
Pacific Groundfish,United States,2011,3.75,3.82,3.45,3.75,3.61,3.72
Southern Zone,Morocco,2013,3.69,3.6,3.77,3.69,4.14,3.39
Tuna Longline,Indonesia,2013,3.63,3.64,4.07,3.63,3.63,3.9
Inshore Artisanal,Seychelles,2011,3.63,3.51,4.1,3.63,3.89,3.86
Beel Chatra,Bangladesh,2010,3.5,2.97,4.05,3.5,4.18,2.67
Artisanal Sole/Catfish,Gambia,2010,3.5,3.35,3.38,3.5,3.36,3.44
Artisanal Robertsport,Liberia,2013,3.5,2.96,3.79,3.5,3.33,3.26
Semi-Industrial,Liberia,2013,3.5,2.9,3.07,3.5,3.24,3.03
Semi-Industrial,Seychelles,2011,3.5,3.97,4.05,3.5,4.16,3.98
Louisiana Shrimp,United States,2010,3.5,3.35,3.9,3.5,3.52,3.75
California Urchin,United States,2010,3.5,4.1,3.52,3.5,3.61,3.92
Kailin Nadi,Bangladesh,2010,3.38,2.69,3.58,3.38,3.39,2.67
Purse Seine Tuna,Mexico,2013,3.38,4.26,4.67,3.38,4.22,4.62
Tokyo Bay,Japan,2013,3.25,3.69,4.29,3.25,3.55,4.43
Pabna Sadulla,Bangladesh,2010,3.13,2.75,3.33,3.13,3.11,2.67
Artisanal Snapper,Indonesia,2010,3.13,3.24,3.6,3.13,3.02,3.52
Longline Tuna,Taiwan,2013,3.13,4.17,4.31,3.13,3.83,4.7
Central Zone,Morocco,2013,3.06,3.22,4.32,3.06,3.78,3.41
TRY Oysters,Gambia,2010,3,2.17,2.4,3,2.22,1.78
Lake Chiuta,Malawi,2013,3,2.75,3.33,3,3.45,2.45
La Paz Bay Chocolata,Mexico,2013,3,2.76,3.93,3,2.98,3.65
Anchovy,Peru,2011,3,3.68,3.98,3,3.44,4.03
Sea Cucumber,Seychelles,2011,3,3.6,4.21,3,3.56,4.19
La Paz Bivalves,Mexico,2013,2.88,2.33,3.71,2.88,2.75,2.87
Nile Perch,Uganda,2010,2.75,3.39,3.6,2.75,3.07,3.74
Artisanal Shimoni,Kenya,2013,2.63,2.58,3.29,2.63,3.31,2.76
Blue Crab,Philippines,2010,2.63,3.44,3.36,2.63,3.27,3.26
Artisanal Ngaparou,Senegal,2013,2.63,2.64,3.52,2.63,2.89,3.11
Sherbro,Sierra Leone,2013,2.63,2.72,3.6,2.63,3.33,2.66
Artisanal Axim,Ghana,2013,2.5,2.79,4.19,2.5,3.42,3.25
Blue Crab,Indonesia,2010,2.5,3.33,3.76,2.5,3.14,3.79
Artisanal,Senegal,2010,2.5,3.39,3.76,2.5,3.16,3.76
Tombo,Sierra Leone,2013,2.5,2.5,3.88,2.5,3.28,2.93
Northeast Groundfish,United States,2008,2.5,3.42,3.55,2.5,2.98,3.88
Shrimp Industrial,Colombia,2010,2.38,3.25,4.29,2.38,3.19,4
Artisanal,Ghana,2010,2.38,2.39,3.36,2.38,2.98,2.77
Octopus,Kenya,2013,2.38,3.39,3.74,2.38,3.17,3.94
Artisanal Westpoint,Liberia,2011,2.38,2.81,2.71,2.38,2.92,2.9
La Paz Bivalves,Mexico,2011,2.38,2.49,3.45,2.38,2.56,2.94
Shrimp Artisanal,Colombia,2010,2.25,2.81,4.2,2.25,3.16,3.68
Thanh Hoa,Vietnam,2011,2.13,3.01,3.45,2.13,2.92,3.13
