Country,FMI_Weighted,R_Weighted,M_Weighted,E_Weighted,S_Weighted,B_Weighted,FMI_Unweighted,R_Unweighted,M_Unweighted,E_Unweighted,S_Unweighted,B_Unweighted
Argentina,0.7,0.82,0.65,0.63,0.71,0.64,0.71,0.83,0.66,0.64,0.72,0.65
Bangladesh,0.39,0.35,0.3,0.38,0.51,0.2,0.36,0.33,0.28,0.35,0.49,0.2
Brazil,0.33,0.41,0.26,0.29,0.37,0.2,0.32,0.4,0.25,0.28,0.36,0.2
Canada,0.81,0.86,0.74,0.78,0.86,0.61,0.82,0.87,0.75,0.8,0.87,0.64
Chile,0.66,0.76,0.54,0.54,0.81,0.57,0.64,0.74,0.53,0.5,0.79,0.54
China,0.37,0.48,0.33,0.34,0.32,0.17,0.35,0.47,0.31,0.31,0.31,0.17
France,0.71,0.85,0.71,0.69,0.62,0.64,0.73,0.86,0.73,0.69,0.65,0.65
Iceland,0.9,0.94,0.88,0.91,0.88,0.81,0.9,0.94,0.88,0.9,0.87,0.79
India,0.46,0.83,0.24,0.37,0.41,0.64,0.45,0.82,0.22,0.34,0.42,0.65
Indonesia,0.43,0.56,0.45,0.34,0.36,0.28,0.42,0.55,0.45,0.34,0.36,0.28
Japan,0.61,0.83,0.55,0.43,0.64,0.74,0.63,0.84,0.57,0.44,0.65,0.74
Malaysia,0.48,0.6,0.42,0.52,0.41,0.42,0.45,0.57,0.36,0.46,0.39,0.38
Mexico,0.58,0.76,0.58,0.42,0.56,0.43,0.58,0.75,0.58,0.41,0.57,0.42
Morocco,0.55,0.74,0.45,0.43,0.59,0.34,0.54,0.76,0.45,0.42,0.53,0.35
Myanmar,0.21,0.22,0.12,0.11,0.39,0.09,0.21,0.2,0.12,0.11,0.39,0.09
New Zealand,0.83,0.84,0.75,0.74,0.99,0.75,0.83,0.86,0.77,0.73,0.98,0.75
Nigeria,0.47,0.54,0.37,0.43,0.65,0.19,0.48,0.53,0.4,0.45,0.64,0.21
Norway,0.88,0.93,0.84,0.85,0.9,0.84,0.89,0.93,0.86,0.85,0.9,0.84
Peru,0.63,0.75,0.66,0.57,0.53,0.6,0.62,0.75,0.64,0.56,0.53,0.58
Philippines,0.42,0.53,0.26,0.4,0.47,0.14,0.4,0.52,0.26,0.4,0.44,0.15
Russia,0.83,0.92,0.82,0.81,0.79,0.83,0.84,0.92,0.83,0.8,0.81,0.84
South Africa,0.81,0.85,0.78,0.69,0.93,0.67,0.8,0.84,0.77,0.68,0.92,0.66
South Korea,0.67,0.83,0.64,0.55,0.66,0.52,0.68,0.83,0.66,0.57,0.65,0.54
Spain,0.68,0.85,0.63,0.53,0.72,0.65,0.71,0.86,0.64,0.58,0.75,0.68
Thailand,0.26,0.45,0.07,0.15,0.33,0.04,0.23,0.39,0.07,0.15,0.32,0.05
United Kingdom,0.75,0.86,0.68,0.65,0.8,0.65,0.76,0.87,0.7,0.66,0.8,0.67
United States,0.92,0.95,0.95,0.87,0.9,0.88,0.92,0.95,0.95,0.87,0.9,0.89
Vietnam,0.5,0.57,0.49,0.48,0.46,0.39,0.5,0.56,0.47,0.48,0.47,0.38
