"","Id","Name","Category","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)"
"1","Ambitious Reform","All subsidies","Ambitious Reform",12.49,3.49,-8.26,0.43,12.56,3.48,-8.31,0.43
"2","RD/TN/RL/87","IUU (Option A)","IUU",0.01,0,0,0,0.01,0,0,0
"3","RD/TN/RL/104","IUU (Option B)","IUU",0.01,0,0,0,0.01,0,0,0
"4","RD/TN/RL/113","Facilitator's working text - IUU","IUU",0,0,0,0,0,0,0,0
"5","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU",0.01,0,0,0,0.01,0,0,0
"6","RD/TN/RL/81","CAP - De minimis","OFOC",0.34,0.1,-0.21,0.01,0.34,0.1,-0.21,0.01
"7","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC",1.82,0.22,-1.14,0.03,2.04,0.28,-1.25,0.04
"8","TN/RL/GEN/199","CAP - Optional criteria","OFOC",1.25,0.39,-0.95,0.05,1.28,0.4,-0.98,0.05
"9","RD/TN/RL/91","OFOC - ABNJ","OFOC",4.84,0.34,-5.57,0.02,5.08,0.41,-5.71,0.03
"10","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC",4.79,1.6,-4.12,0.18,4.88,1.6,-4.17,0.18
"11","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC",6.2,2.01,-4.18,0.25,6.2,2.01,-4.18,0.25
"12","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",8.11,1.98,-6.26,0.25,8.19,1.99,-6.31,0.25
"13","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",1.82,0.22,-1.14,0.03,2.04,0.28,-1.25,0.04
"14","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",3.93,0.19,-4.9,0,4.19,0.28,-5.05,0.01
"15","RD/TN/RL/124","CAP - Formula","OFOC",7.17,2.24,-4.96,0.28,7.17,2.24,-4.97,0.28
"16","RD/TN/RL/124/Rev.1","CAP - Formula (revised)","OFOC",6.8,2.11,-4.74,0.27,6.8,2.11,-4.75,0.27
