"","Id","Name","Category","Year","Region","Biomass","Catches","Fishing Mortality","Revenue"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,"atlantic",0.0634333714303904,-0.023042997038569,-0.0813180879895116,-0.00303616027460459
"2","Ambitious Reform","All subsidies","Ambitious Reform",2050,"indian",0.06832214042991,0.0107690794888039,-0.0538723843333863,0.00139812941979551
"3","Ambitious Reform","All subsidies","Ambitious Reform",2050,"pacific",0.192633834020329,0.0664626424607847,-0.105792061201404,0.00842843793080252
"4","Ambitious Reform","All subsidies","Ambitious Reform",2080,"atlantic",0.0649551969233576,-0.0234828863748109,-0.0830439473450761,-0.00309472361562397
"5","Ambitious Reform","All subsidies","Ambitious Reform",2080,"indian",0.0686133288244668,0.0108071417112594,-0.0540945780423657,0.00140304794928308
"6","Ambitious Reform","All subsidies","Ambitious Reform",2080,"pacific",0.192629673302975,0.0664581450710719,-0.105792712571433,0.00842788323590041
"7","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,"atlantic",0.0525454198585735,-0.0189162575839597,-0.0678941507836644,-0.00248787297825305
"8","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,"indian",0.0585206311911013,-0.0014660165476187,-0.0566702678919162,-0.000191341544213492
"9","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,"pacific",0.112643195873758,0.0417313818912568,-0.0637327530024704,0.00534695541400458
"10","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2080,"atlantic",0.0542341927187284,-0.0191661362096515,-0.06962431064685,-0.00252101528482451
"11","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2080,"indian",0.0585138013492968,-0.00149099508317447,-0.056687778993512,-0.000194603808627346
"12","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2080,"pacific",0.113008492859151,0.0418906858040369,-0.063896913196433,0.0053670071144395
"13","RD/TN/RL/104","IUU (Option B)","IUU",2050,"atlantic",0.000125118492030534,-3.82832717760742e-05,-0.000163381321781964,-4.99355334950541e-06
"14","RD/TN/RL/104","IUU (Option B)","IUU",2050,"indian",1.44766541024021e-05,2.74738544271168e-06,-1.1729098861698e-05,3.58354194800116e-07
"15","RD/TN/RL/104","IUU (Option B)","IUU",2050,"pacific",1.57928880528112e-05,6.1858324518903e-06,-9.60690388020401e-06,8.0684554097813e-07
"16","RD/TN/RL/104","IUU (Option B)","IUU",2080,"atlantic",0.000124544118578889,-3.84777183689884e-05,-0.000163001536065232,-5.01891679520701e-06
"17","RD/TN/RL/104","IUU (Option B)","IUU",2080,"indian",1.45527252650309e-05,2.76196578233395e-06,-1.17905878975592e-05,3.60255973841679e-07
"18","RD/TN/RL/104","IUU (Option B)","IUU",2080,"pacific",1.80636920362064e-05,7.27379264272987e-06,-1.07897044914966e-05,9.48752561577377e-07
"19","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,"atlantic",0.0211703949336709,-0.00770839092373723,-0.0282800852832047,-0.00100882828584172
"20","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,"indian",1.37438569133766e-05,1.21339771016569e-06,-1.25302869887794e-05,1.58269183038839e-07
"21","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,"pacific",0.0189176627121393,0.00728385419288304,-0.0114178102362949,0.000947072761033385
"22","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2080,"atlantic",0.0238637009723546,-0.00798675378524849,-0.031108100352962,-0.00104538608294884
"23","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2080,"indian",2.72756025791444e-05,3.83704591413683e-06,-2.34379173816544e-05,5.00483414779568e-07
"24","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2080,"pacific",0.021191922414707,0.00842799542687873,-0.0124990481296078,0.00109529655229719
"25","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,"atlantic",7.66769881640686e-05,-2.49074071682903e-05,-0.000101576606744169,-3.24882742209297e-06
"26","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,"indian",1.44766541024021e-05,2.74738544271168e-06,-1.1729098861698e-05,3.58354194800116e-07
"27","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,"pacific",1.57912890611222e-05,6.18530114668414e-06,-9.60583622589049e-06,8.06776240814244e-07
"28","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2080,"atlantic",8.05034882230486e-05,-2.50747258403478e-05,-0.0001055697153331,-3.27065207102447e-06
"29","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2080,"indian",1.45527252650309e-05,2.76196578233395e-06,-1.17905878975592e-05,3.60255973841679e-07
"30","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2080,"pacific",1.80605505743844e-05,7.27262867508445e-06,-1.07877270670189e-05,9.48600740542585e-07
"31","RD/TN/RL/119/Rev.1 | Objective Definition","Facilitator's text - Overfished [Objective Definition]","Overfished",2050,"atlantic",0.0211703949336709,-0.00770839092373723,-0.0282800852832047,-0.00100882828584172
"32","RD/TN/RL/119/Rev.1 | Objective Definition","Facilitator's text - Overfished [Objective Definition]","Overfished",2050,"indian",1.37438569133766e-05,1.21339771016569e-06,-1.25302869887794e-05,1.58269183038839e-07
"33","RD/TN/RL/119/Rev.1 | Objective Definition","Facilitator's text - Overfished [Objective Definition]","Overfished",2050,"pacific",0.0189176524993017,0.00728385059469987,-0.011417803858894,0.000947072294657614
