"","Id","Name","Category","Change in biomass (%, 2050)","Change in catch (%, 2050)","Change in fishing mortality (%, 2050)","Change in revenue (%, 2050)","Change in biomass (%, 2080)","Change in catch (%, 2080)","Change in fishing mortality (%, 2080)","Change in revenue (%, 2080)","Subsidies affected ($)","Subsidies affected (%)"
"1","Ambitious Reform","All subsidies","Ambitious Reform",12.49,3.49,-8.26,0.43,12.56,3.48,-8.31,0.43,20920752972.4149,71.18
"2","RD/TN/RL/87","IUU (Option A)","IUU",0.01,0,0,0,0.01,0,0,0,9145060.91169954,0.03
"3","RD/TN/RL/104","IUU (Option B)","IUU",0.01,0,0,0,0.01,0,0,0,9145060.91169954,0.03
"4","RD/TN/RL/113","Facilitator's working text - IUU","IUU",0,0,0,0,0,0,0,0,9144409.53516788,0.03
"5","RD/TN/RL/89/Rev.2","IUU (Option C)","IUU",0.01,0,0,0,0.01,0,0,0,9145060.91169954,0.03
"6","RD/TN/RL/81","CAP - De minimis","OFOC",0.34,0.1,-0.21,0.01,0.34,0.1,-0.21,0.01,676309227.192323,2.3
"7","RD/TN/RL/79/Rev.1","OFOC - Negative effects (Option A)","OFOC",1.82,0.22,-1.14,0.03,2.04,0.28,-1.25,0.04,4093495604.03919,13.93
"8","TN/RL/GEN/199","CAP - Optional criteria","OFOC",1.25,0.39,-0.95,0.05,1.28,0.4,-0.98,0.05,3105648454.0947,10.57
"9","RD/TN/RL/91","OFOC - ABNJ","OFOC",4.84,0.34,-5.57,0.02,5.08,0.41,-5.71,0.03,8166589302.48628,27.79
"10","RD/TN/RL/96/Rev.1","OFOC - List approach","OFOC",4.79,1.6,-4.12,0.18,4.88,1.6,-4.17,0.18,7105487243.82366,24.18
"11","TN/RL/GEN/197/Rev.2","CAP - Tiers","OFOC",6.2,2.01,-4.18,0.25,6.2,2.01,-4.18,0.25,9259345125.24318,31.5
"12","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",8.11,1.98,-6.26,0.25,8.19,1.99,-6.31,0.25,15500709950.3516,52.74
"13","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",1.82,0.22,-1.14,0.03,2.04,0.28,-1.25,0.04,4093495013.37525,13.93
