"","Id","Name","Category","Year","Biomass","Catches"
"1","Ambitious Reform","All subsidies","Ambitious Reform",2050,23572559.1148097,2129389.94494053
"2","Ambitious Reform","All subsidies","Ambitious Reform",2080,23702591.4169585,2121529.156721
"3","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2050,15582377.7218639,1210736.69022023
"4","RD/TN/RL/103","OFOC - Vessel characteristics","OFOC",2080,15753952.5486135,1212056.30331762
"5","RD/TN/RL/104","IUU (Option B)","IUU",2050,11972.8985390132,-441.797655694699
"6","RD/TN/RL/104","IUU (Option B)","IUU",2080,12129.0835174978,-404.554970740218
"7","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2050,3432234.47312168,133565.339674908
"8","RD/TN/RL/112/Rev.1","OFOC - Prohibition + management","OFOC",2080,3857088.32319061,171319.432320654
"9","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2050,7978.32237343336,-201.32268355549
"10","RD/TN/RL/113","Facilitator's working text - IUU","IUU",2080,8497.31973769797,-163.618407658797
"11","RD/TN/RL/119/Rev.1 | Objective Definition","Facilitator's text - Overfished [Objective Definition]","Overfished",2050,3432233.56285476,133565.205237953
"12","RD/TN/RL/119/Rev.1 | Objective Definition","Facilitator's text - Overfished [Objective Definition]","Overfished",2080,3857086.90299906,171319.214109422
"13","RD/TN/RL/119/Rev.1 | Relevant Authorities","Facilitator's text - Overfished [Relevant Authorities]","Overfished",2050,839772.339042126,-52919.1927358029
"14","RD/TN/RL/119/Rev.1 | Relevant Authorities","Facilitator's text - Overfished [Relevant Authorities]","Overfished",2080,970899.660744008,-47229.5528762235
"15","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",2050,7868515.87390903,115656.351254935
"16","RD/TN/RL/121","OFOC - Negative effects + ABNJ","OFOC",2080,8394091.13293859,172612.221985027
"17","RD/TN/RL/124","CAP - Formula","OFOC",2050,13523723.564157,1362239.0531843
"18","RD/TN/RL/124","CAP - Formula","OFOC",2080,13538227.2582309,1362621.35988769
"19","RD/TN/RL/124/Rev.1","CAP - Formula (Rev. 1)","OFOC",2050,12827495.9439593,1288221.08947434
"20","RD/TN/RL/124/Rev.1","CAP - Formula (Rev. 1)","OFOC",2080,12836128.2957222,1288998.18362774
"21","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple",2050,2369147.42783357,85229.4364115413
"22","RD/TN/RL/125","Comprehensive text proposal","Other & Multiple",2080,2652251.3481144,96072.9585806203
"23","RD/TN/RL/126/Rev.2 | Objective Definition","Chair's text - Consolidated text (Dec 2020) [Objective Definition]","Other & Multiple",2050,8966894.0038094,147710.04805762
"24","RD/TN/RL/126/Rev.2 | Objective Definition","Chair's text - Consolidated text (Dec 2020) [Objective Definition]","Other & Multiple",2080,9516708.04192743,201594.905690082
"25","RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Formula]","Other & Multiple",2050,15525717.7283648,1211528.53154003
"26","RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Formula]","Other & Multiple",2080,15535837.716044,1212805.87195662
"27","RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis]","Other & Multiple",2050,10656390.7150679,699966.208177893
"28","RD/TN/RL/126/Rev.2 | Objective Definition + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - De minimis]","Other & Multiple",2080,10670114.4750023,701400.899125739
"29","RD/TN/RL/126/Rev.2 | Objective Definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Tiers]","Other & Multiple",2050,14535045.2227111,1117312.3181346
"30","RD/TN/RL/126/Rev.2 | Objective Definition + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Tiers]","Other & Multiple",2080,14551757.4105252,1118913.48107695
"31","RD/TN/RL/126/Rev.2 | Objective Definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Optional criteria]","Other & Multiple",2050,10769093.7428424,750510.127450899
"32","RD/TN/RL/126/Rev.2 | Objective Definition + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Objective Definition + CAP - Optional criteria]","Other & Multiple",2080,10780164.7553332,750832.083482108
"33","RD/TN/RL/126/Rev.2 | Relevant Authorities","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities]","Other & Multiple",2050,8954674.74463061,153554.348019328
"34","RD/TN/RL/126/Rev.2 | Relevant Authorities","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities]","Other & Multiple",2080,9470226.33207954,203320.196986464
"35","RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula]","Other & Multiple",2050,15519281.8285601,1212277.28334662
"36","RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/124","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Formula]","Other & Multiple",2080,15535810.3107711,1212809.33038718
"37","RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - De minimis]","Other & Multiple",2050,10656318.6128593,699984.672576056
"38","RD/TN/RL/126/Rev.2 | Relevant Authorities + RD/TN/RL/81","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - De minimis]","Other & Multiple",2080,10669670.8154242,701385.617814236
"39","RD/TN/RL/126/Rev.2 | Relevant Authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Tiers]","Other & Multiple",2050,14535245.0516859,1117320.90223303
"40","RD/TN/RL/126/Rev.2 | Relevant Authorities + TN/RL/GEN/197/Rev.2","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Tiers]","Other & Multiple",2080,14551378.9336003,1118902.08121045
"41","RD/TN/RL/126/Rev.2 | Relevant Authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Optional criteria]","Other & Multiple",2050,10769093.7428424,750510.127450899
"42","RD/TN/RL/126/Rev.2 | Relevant Authorities + TN/RL/GEN/199","Chair's text - Consolidated text (Dec 2020) [Relevant Authorities + CAP - Optional criteria]","Other & Multiple",2080,10780164.7553332,750832.083482108
"43","RD/TN/RL/136","Artisanal - Exemption","Other & Multiple",2050,8939800.04428321,151693.245555425
