Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2019,biomass,Total,atlantic,114476098.84208268,114476098.84208268,0,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2020,biomass,Total,atlantic,116441600.4331289,116441600.4331289,0,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2021,biomass,Total,atlantic,117870971.71379608,117998483.28058818,0.0010817893917232906,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2022,biomass,Total,atlantic,118896652.62488165,119217243.85029443,0.002696385628485562,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2023,biomass,Total,atlantic,119624094.30485901,120163683.5892071,0.004510707374493935,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2024,biomass,Total,atlantic,120134574.90677784,120895269.5257823,0.006332020732538845,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2025,biomass,Total,atlantic,120489239.19318463,121460020.0284532,0.008056991991725377,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2026,biomass,Total,atlantic,120733232.19284885,121896802.7349301,0.009637533270232214,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2027,biomass,Total,atlantic,120899391.63857862,122236331.23742731,0.011058282268660088,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2028,biomass,Total,atlantic,121011310.63383383,122502424.84193535,0.012322106093152435,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2029,biomass,Total,atlantic,121085762.64679019,122713282.90744962,0.013441053886797068,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2030,biomass,Total,atlantic,121134561.8546997,122882646.12896562,0.0144309291047978,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2031,biomass,Total,atlantic,121165958.14777197,123020791.29321483,0.01530820350696798,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2032,biomass,Total,atlantic,121185665.31270869,123135348.75147195,0.01608839984277248,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2033,biomass,Total,atlantic,121197608.61027579,123231954.31834275,0.016785361785549888,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2034,biomass,Total,atlantic,121204462.2792287,123314757.34599261,0.017411034437843115,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2035,biomass,Total,atlantic,121208032.31388196,123386809.56992301,0.017975518737890727,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2036,biomass,Total,atlantic,121209526.74123237,123450358.3238127,0.0184872562646353,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2037,biomass,Total,atlantic,121209744.96665719,123507064.9272889,0.018953261235420207,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2038,biomass,Total,atlantic,121209209.429794,123558165.65264434,0.019379354373323297,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2039,biomass,Total,atlantic,121208256.47347826,123604589.31867413,0.019770376333399526,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2040,biomass,Total,atlantic,121207098.59436621,123647042.5523975,0.02013037178785094,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2041,biomass,Total,atlantic,121205866.75885728,123686071.21857588,0.02046274265463603,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2042,biomass,Total,atlantic,121204638.9321389,123722104.45265013,0.020770372674603032,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2043,biomass,Total,atlantic,121203459.14092565,123755486.10256416,0.02105572711972864,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2044,biomass,Total,atlantic,121202350.08490136,123786497.12539257,0.021320931802733464,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2045,biomass,Total,atlantic,121201321.38619135,123815371.52835727,0.021567835336024122,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2046,biomass,Total,atlantic,121200374.91455486,123842307.72816582,0.021798058095723664,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2047,biomass,Total,atlantic,121199508.1704257,123867476.67364918,0.022013030774612488,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2048,biomass,Total,atlantic,121198716.39161281,123891027.68991795,0.022214024854898977,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2049,biomass,Total,atlantic,121197993.83134557,123913092.72217779,0.022402176843046115,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2050,biomass,Total,atlantic,121197334.50599624,123933789.45627593,0.022578507699311627,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
2051,biomass,Total,atlantic,121196732.60930787,123953223.64985014,0.022743938563328705,RD/TN/RL/126 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | Relevant Authorities),Other
