eez_id,reporting_name,eez_type,territory1,territory1_iso3,territory2,territory2_iso3,territory3,territory3_iso3,sovereign1,sovereign1_iso3,sovereign2,sovereign2_iso3,sovereign3,sovereign3_iso3,area_km2
8478,Angolan Exclusive Economic Zone,200NM,Angola,AGO,NA,NA,NA,NA,Angola,AGO,NA,NA,NA,NA,495861.858053
5670,Albanian Exclusive Economic Zone,200NM,Albania,ALB,NA,NA,NA,NA,Albania,ALB,NA,NA,NA,NA,12165.6105921
8360,United Arab Emirates Exclusive Economic Zone,200NM,United Arab Emirates,ARE,NA,NA,NA,NA,United Arab Emirates,ARE,NA,NA,NA,NA,52580.3217567
8466,Argentinean Exclusive Economic Zone,200NM,Argentina,ARG,NA,NA,NA,NA,Argentina,ARG,NA,NA,NA,NA,1072785.76611
8414,Antigua and Barbuda Exclusive Economic Zone,200NM,Antigua and Barbuda,ATG,NA,NA,NA,NA,Antigua and Barbuda,ATG,NA,NA,NA,NA,111560.086278
8388,Heard and McDonald Islands Exclusive Economic Zone,200NM,Heard and McDonald Islands,HMD,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,417353.385682
8310,Norfolk Island Exclusive Economic Zone,200NM,Norfolk Island,NFK,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,430746.502762
8309,Christmas Island Exclusive Economic Zone,200NM,Christmas Island,CXR,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,327994.30766
8308,Cocos Islands Exclusive Economic Zone,200NM,Cocos Islands,CCK,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,467439.781112
8323,Australian Exclusive Economic Zone,200NM,Australia,AUS,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,6870741.53364
8311,Australian Exclusive Economic Zone (Macquarie Island),200NM,Macquarie Island,AUS,NA,NA,NA,NA,Australia,AUS,NA,NA,NA,NA,475737.98177
26524,Azerbaijanis Exclusive Economic Zone,200NM,Azerbaijan,AZE,NA,NA,NA,NA,Azerbaijan,AZE,NA,NA,NA,NA,80576.1964994
3293,Belgian Exclusive Economic Zone,200NM,Belgium,BEL,NA,NA,NA,NA,Belgium,BEL,NA,NA,NA,NA,3491.7011964
8393,Beninese Exclusive Economic Zone,200NM,Benin,BEN,NA,NA,NA,NA,Benin,BEN,NA,NA,NA,NA,35528.368644
8481,Bangladeshi Exclusive Economic Zone,200NM,Bangladesh,BGD,NA,NA,NA,NA,Bangladesh,BGD,NA,NA,NA,NA,112302.620749
5672,Bulgarian Exclusive Economic Zone,200NM,Bulgaria,BGR,NA,NA,NA,NA,Bulgaria,BGR,NA,NA,NA,NA,34752.8122073
